代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SH000991,2015-08-05,11052.8200,11207.5100,10875.5700,10951.7100,1958769200,41141739520.00
SH000992,2015-08-05,5843.2200,5854.8300,5734.5500,5736.9800,6360719200,79709388800.00
SH000993,2015-08-05,7341.8700,7441.2200,7150.6000,7213.2300,5687362000,123226603520.00
SH000994,2015-08-05,6701.4900,6818.7200,6538.8600,6616.1800,1065269900,21828474880.00
SH000995,2015-08-05,3576.1500,3608.9900,3498.4800,3522.1400,2834416000,27187308544.00
SH000996,2015-08-05,9062.0400,9165.6900,8938.6300,8983.0500,4521308400,68006838272.00
SH000997,2015-08-05,10352.0900,10483.4200,10143.8100,10222.3800,9062309600,157393092608.00
SH000998,2015-08-05,2779.6000,2813.9900,2706.1100,2727.7400,3837926000,71675330560.00
SH000999,2015-08-05,1551.9200,1557.6800,1535.9700,1538.3200,22274904000,295999504384.00
SZ399001,2015-08-05,12694.5700,12842.3100,12447.0400,12524.6900,27115078400,476252504064.00
SZ399002,2015-08-05,14832.3700,15004.9900,14543.1500,14633.8700,27076428800,476009103360.00
SZ399003,2015-08-05,7137.6900,7167.9600,6971.3100,7023.8100,38650300,243401168.00
SZ399004,2015-08-05,5307.8200,5349.2300,5207.7700,5219.8200,4334069200,75017109504.00
SZ399005,2015-08-05,8600.3100,8698.0200,8431.0500,8472.7200,10211691200,194483945472.00
SZ399006,2015-08-05,2542.2700,2584.1900,2480.4500,2502.0400,4681745600,123946147840.00
SZ399007,2015-08-05,5149.8600,5202.2100,5044.9100,5072.1300,9879249600,175733669888.00
SZ399008,2015-08-05,1758.8000,1781.9300,1726.3600,1737.4900,5604782400,112490561536.00
SZ399009,2015-08-05,6329.0200,6413.9700,6186.7500,6246.3600,5545180800,100716568576.00
SZ399010,2015-08-05,9080.6700,9245.3600,8947.0600,9031.8500,11324291200,182624256000.00
SZ399011,2015-08-05,6246.5700,6330.6300,6133.9200,6177.4100,21203540800,358357925888.00
SZ399012,2015-08-05,3731.0900,3797.3600,3652.0200,3686.1500,3685977600,91176656896.00
SZ399100,2015-08-05,9485.0800,9621.0700,9318.8200,9391.2600,26866582400,473847660544.00
SZ399101,2015-08-05,12484.0500,12666.4300,12281.9200,12374.0400,10211691200,194483945472.00
SZ399102,2015-08-05,2832.5100,2885.9600,2776.1400,2805.2100,4681745600,123946147840.00
SZ399103,2015-08-05,6707.8200,6751.7600,6611.7900,6653.8800,22623344000,19921235968.00
SZ399106,2015-08-05,2148.7800,2179.6000,2112.0600,2128.4200,27115078400,476252504064.00
SZ399107,2015-08-05,2247.9500,2280.3500,2209.5200,2226.6800,27076428800,476009103360.00
SZ399108,2015-08-05,1226.8500,1228.8300,1207.0800,1212.4900,38650300,243401168.00
SZ399231,2015-08-05,1595.2400,1619.1400,1556.3900,1569.6100,373638100,7053759488.00
SZ399232,2015-08-05,2635.7900,2669.3600,2600.8900,2608.8300,491678500,4299571200.00
SZ399233,2015-08-05,2185.6300,2223.1800,2153.1900,2172.2700,17946745600,317386391552.00
SZ399234,2015-08-05,1446.3800,1465.2700,1409.3000,1426.9200,950844300,9847153664.00
SZ399235,2015-08-05,2425.5100,2468.9800,2392.0900,2406.4600,637707700,9757680640.00
SZ399236,2015-08-05,2285.0800,2322.0800,2249.5100,2268.9400,959272600,16730185728.00
SZ399237,2015-08-05,1792.1300,1824.2900,1759.9000,1779.4100,470437500,5967629312.00
SZ399238,2015-08-05,2077.7600,2123.3500,2048.4800,2071.2600,108514900,1380422912.00
SZ399239,2015-08-05,2950.3300,2986.5500,2873.8400,2898.4300,1691661600,52108308480.00
SZ399240,2015-08-05,1350.6400,1353.5400,1319.5300,1320.6100,509940700,8231577600.00
SZ399241,2015-08-05,2816.1800,2825.8900,2758.1100,2773.8100,1648525200,18491648000.00
SZ399242,2015-08-05,3431.5200,3450.9800,3380.2800,3389.5500,197792300,4281633024.00
SZ399243,2015-08-05,2264.4800,2337.9800,2235.9900,2255.1100,177455100,3953540608.00
SZ399244,2015-08-05,1835.1400,1852.7800,1799.6600,1809.6700,357421800,5372764160.00
SZ399248,2015-08-05,2641.3600,2669.5400,2583.9900,2596.3000,233603200,6989524992.00
SZ399249,2015-08-05,835.5000,847.3600,826.2000,839.4400,88506300,1013698368.00
SZ399300,2015-08-05,3937.6200,3962.2800,3858.6600,3866.9000,20048427200,272693510144.00
SZ399301,2015-08-05,143.2000,143.2600,143.1700,143.2600,4705100,487688288.00
SZ399302,2015-08-05,146.0400,146.1400,146.0200,146.1400,4623400,479058496.00
SZ399305,2015-08-05,6961.1700,7020.0700,6855.7900,6890.0000,105046300,109565696.00
SZ399306,2015-08-05,1221.2200,1224.7600,1191.8500,1195.4900,579935400,1802421504.00
SZ399310,2015-08-05,4722.2800,4728.3800,4643.2700,4643.2700,6387679200,74822475776.00
SZ399311,2015-08-05,4546.8400,4590.1300,4455.7300,4477.2500,40737833600,586540711936.00
SZ399312,2015-08-05,4455.8400,4484.5200,4368.2300,4377.0900,20966193600,289905967104.00
SZ399313,2015-08-05,4060.6400,4075.3100,3989.3800,3991.3200,10065232800,123816132608.00
SZ399314,2015-08-05,3968.2400,3988.2900,3890.4500,3894.9100,15936734400,224350601216.00
SZ399315,2015-08-05,5732.5500,5815.8500,5607.2400,5657.3300,12840814400,184219369472.00
SZ399316,2015-08-05,6489.9700,6588.7100,6365.4600,6426.2800,11960283200,177970774016.00
SZ399317,2015-08-05,5214.0600,5277.1000,5118.3000,5151.5900,63102668800,954938621952.00
SZ399318,2015-08-05,5087.6700,5109.5900,4979.5800,5021.0200,135697800,902738176.00
SZ399319,2015-08-05,2344.4300,2369.3200,2295.6500,2311.7400,4241260000,42906591232.00
